romaji_title,english_title,native_title,description,genres,episodes,start_date,end_date,average_score,popularity,image_url
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,"In a futuristic world where the internet and cybernetics has blurred the borders between societies; the members of Public Security Section 9 are reinstated to assist in solving numerous cases of cyber crime.<br><br>
A spate of similar crimes committed by separate suicidal groups known as ""The Individual Eleven"" becomes the core focus for Section 9 as war approaches in the form of refugees flooding into the country.
<br><br>
(Source: Anime News Network)","Action, Mystery, Psychological, Sci-Fi",26.0,2004-1-1,2005-1-8,84.0,38358,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx801-nF9RyvPJu6s4.jpg
Chikyuu Shoujo Arjuna,Arjuna,地球少女アルジュナ,"Juna was just an ordinary high-school girl, right up until the day she died in a motorcycle accident. But there, in the twilight of death, she saw the future of the barren earth destroyed by the Raaja, and was offered a second chance at life if she would stop them. Now she must learn to cast aside her thoughtlessly destructive ways and face her destiny as the Avatar of Time, the one being who can decide the fate of the planet.
<br><br>
(Source: Anime News Network)","Adventure, Drama, Fantasy, Mahou Shoujo, Sci-Fi",13.0,2001-1-9,2001-3-27,63.0,8104,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx812-kBPBYhjD025q.jpg
Dragon Ball Z,Dragon Ball Z,ドラゴンボールZ,"Goku is back with his new son, Gohan, but just when things are getting settled down, the adventures continue. Whether he is facing enemies such as Freeza, Cell, or Boo, Goku is proven to be an elite of his own and discovers his race, Saiyan. He meets many new people, gaining allies as well as enemies, as he still finds time to raise a family and be the happy-go-lucky Saiyan he is.<br><br>
(Source: Anime News Network)","Action, Adventure, Comedy, Fantasy, Supernatural",291.0,1989-4-26,1996-1-31,80.0,215829,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx813-ZhnFNOeCU5dQ.png
Tactical Roar,Tactical Roar,タクティカルロア,"In the near future the world's climate shifted creating in the Western Pacific a perpetual super cyclone: the Grand Roar that altered the earth, flooding most countries. Shipping and navigation became important to nations and following the appearance of ocean pirates, necessisated companies to hire escort cruisers to safeguard their investments. Hyousuke Nagimiya is a system engineer that was comissioned to upgrade the Pascal Magi manned by an entire crew of women with its captain, Misaki Nanaha. Together the crew strives to prove themselves to their detractors that they are no mere 'Alice Brand'. Yet as they go about their mission a larger global conspiracy seems to be working behind the scenes to take advantage of this new world order.
<br><br>
(Source: Anime News Network)","Comedy, Romance, Sci-Fi",13.0,2006-1-8,2006-4-2,59.0,1915,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/817.jpg
Chicchana Yukitsukai Sugar,A Little Snow Fairy Sugar,ちっちゃな雪使いシュガー,"The Season Fairies make the weather, each kind having its own specialty. Only full-fledged fairies have this ability. Sugar is an apprentice Snow Fairy. She and her friends have had all of the training and now need to find magical “Twinkles.” Unfortunately, none of these fairies know what a Twinkle is. However, they do find a human girl, Saga, who can see them when others can’t. Saga prefers a quiet and orderly life, becomes the rather unwilling helper to these noisy, lively, little fairies.<br>
<br>
(Source: Sentai Filmworks)","Comedy, Fantasy",24.0,2001-10-2,2002-3-26,67.0,4254,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/831.jpg
Ginsoukikou Ordian,Ginsoukikou Ordian,銀装騎攻オーディアン,"Kananase Yu is just an ordinary high-school student. Since he has mysterious inside knowledge about piloting a mecha, he is recruited by the International Military Organization as a potential test pilot for a new mobile armor. However, apparently there are other young recruits around his age, including one of his classmates, were recruited as test pilot as well. Now Kananase Yu must prove that he is the best to be the test pilot.
<br><br>
(Source: Anime News Network)","Mecha, Sci-Fi",24.0,2000-4-4,2000-9-19,56.0,1361,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/832.jpg
Choujuushin Gravion,Super Heavy God Gravion,超重神グラヴィオン,"The year is now 2041 AD. A new enemy called Zeravire suddenly appears in the solar system, destroying all military installations it comes across. However, a wealthy man named Klein Sandman is already aware of this planned invasion and had been secretly preparing his army for battle. His trump card is Gravion, a giant robot that utilizes gravity as its source of energy. Meanwhile a young man named Eiji secretly enters Sandman's base in search for his missing sister. It is there that he meets another young man by the name of Toga... These two must now fight together with four other individuals aboard the super robot, Gravion to fend off the Zeravire threat.
<br><br>
(Source: Anime News Network)","Adventure, Comedy, Mecha, Sci-Fi",13.0,2002-10-7,2002-12-16,61.0,3537,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b833-4XonZorOk8If.png
Sister Princess RePure,Sister Princess RePure,シスター・プリンセス ～リピュア～,"After a long time, Wataru has decided to leave the house and lives on his own. The girls have also decided to split up and most of them are living seperately as well. But none of them has forgotten about their brother and they still stick together to meet him, or their sisters.","Drama, Romance",13.0,2002-10-4,2002-12-25,61.0,2003,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx835-zwS3iHfCpo95.png
Sister Princess,Sister Princess,シスター・プリンセス,"Wataru Minakami is a top student who failed his high school entrance exam because of a computer glitch. He later discovered that he was accepted to Stargazer Hill Academy, which is located at a mysterious place called Promised Island. At the request of his father, Wataru is whisked away to the island, and before he can settle in, a dozen of cute and charming girls start to flock him and claim to be his younger sisters. As Wataru gets closer to his newfound siblings, a deeper mystery as to why they were sent to the island comes to play. <br><br>
(Source: Anime News Network)","Comedy, Drama, Romance, Slice of Life",26.0,2001-4-4,2001-9-26,60.0,4950,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx836-ZYPEtTbVOJXz.png
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,Shadow Star Narutaru,なるたる ～骸なる星・珠たる子～,"During her summer holiday at her grandparents house Tamai Shiina, a young and cheerful schoolgirl, meets a strange looking creature. They befriend each other and Shiina names it ""Hoshimaru - The Round Star"". When Shiina returns home after the summer to go back to school she starts meeting other kids that also have befriended a strange creature like Hoshimaru. But she soon finds out that not all these creatures and their masters are as friendly as Hoshimaru.
<br><br>
(Source: Anime News Network)","Drama, Horror, Supernatural",13.0,2003-7-7,2003-9-29,54.0,8634,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx838-SR6rbkRXlS8r.jpg
